"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C1","CAPC1608N","13.45mm","14.1mm","12.6mm","14.1mm","12.6mm","14.1mm","T","0.00","100nF"
"C2","CAPC1608N","20.6mm","24.45mm","20.6mm","23.6mm","20.6mm","23.6mm","T","90.00","100nF"
"C3","CAPC1608N","16.25mm","33.1mm","17.1mm","33.1mm","17.1mm","33.1mm","T","180.00","100nF"
"C4","CAPC1608N","16.25mm","31.6mm","17.1mm","31.6mm","17.1mm","31.6mm","T","180.00","100nF"
"C5","CAPC1608N","3.6mm","20.45mm","3.6mm","19.6mm","3.6mm","19.6mm","T","90.00","100nF"
"C6","CAPC1608N","20.6mm","20.25mm","20.6mm","21.1mm","20.6mm","21.1mm","T","270.00","100nF"
"C7","CAPC1608N","13.75mm","35.1mm","14.6mm","35.1mm","14.6mm","35.1mm","T","180.00","20pF"
"C8","CAPC1608N","10.45mm","35.1mm","9.6mm","35.1mm","9.6mm","35.1mm","T","360.00","20pF"
"C10","CAPC1608N","3.6mm","24.25mm","3.6mm","25.1mm","3.6mm","25.1mm","T","270.00","1uF 6.3V"
"C14","CAPC1608N","28.1mm","29.95mm","28.1mm","29.1mm","28.1mm","29.1mm","T","90.00","1uF 6.3V"
"C15","CAPC1608N","22.6mm","29.95mm","22.6mm","29.1mm","22.6mm","29.1mm","T","90.00","100nF"
"D1_LED0","LED_0805","38.6mm","55.05mm","38.6mm","54.1mm","38.6mm","54.1mm","T","90.00","Green LED"
"D1_LED1","LED_0805","33.6mm","55.05mm","33.6mm","54.1mm","33.6mm","54.1mm","T","90.00","Green LED"
"D1_LED2","LED_0805","9.6mm","54.55mm","9.6mm","53.6mm","9.6mm","53.6mm","T","90.00","Green LED"
"D1_LED3","LED_0805","4.1mm","54.55mm","4.1mm","53.6mm","4.1mm","53.6mm","T","90.00","Green LED"
"J1","RJ12_90","8.02mm","6.19mm","6.1mm","8.1mm","4.83mm","10.64mm","T","0.00","Program / Debug"
"P1","PHOENIX_1985195","35.35mm","9.1mm","37.1mm","6.6mm","37.1mm","6.6mm","T","0.00","12V Main"
"P2","PHOENIX_1985195","25.85mm","9.1mm","27.6mm","6.6mm","27.6mm","6.6mm","T","0.00","12V Battery"
"R1","PDB181-K415K-102A2","20.1mm","54.35mm","11.6mm","47.1mm","25.1mm","54.35mm","T","0.00","1K"
"C9","CAPC2012N","1.6mm","24.15mm","1.6mm","25.1mm","1.6mm","25.1mm","T","270.00","10uF 6.3V"
"C11","CAPC2012N","33.1mm","20.55mm","33.1mm","19.6mm","33.1mm","19.6mm","T","90.00","10uF 6.3V"
"C12","CAPC2012N","38.1mm","38.15mm","38.1mm","39.1mm","38.1mm","39.1mm","T","270.00","10uF 6.3V"
"C13","CAPC2012N","31.55mm","33.1mm","30.6mm","33.1mm","30.6mm","33.1mm","T","360.00","10uF 6.3V"
"D4","LED_0805","24.1mm","18.65mm","24.1mm","19.6mm","24.1mm","19.6mm","T","270.00","Green LED"
"D2","SMA/DO-214AC_21","37.1mm","19.63mm","37.1mm","17.6mm","37.1mm","17.6mm","T","90.00","GF1A"
"D3","SMA/DO-214AC_21","28.1mm","19.63mm","28.1mm","17.6mm","28.1mm","17.6mm","T","90.00","GF1A"
"FB1","INDC1608AN","25.25mm","31.1mm","26.1mm","31.1mm","26.1mm","31.1mm","T","180.00","600r"
"R2_LED0","RESC1608N","38.6mm","51.25mm","38.6mm","52.1mm","38.6mm","52.1mm","T","270.00","330r"
"R2_LED1","RESC1608N","33.6mm","51.25mm","33.6mm","52.1mm","33.6mm","52.1mm","T","270.00","330r"
"1","RESC1608N","9.6mm","50.75mm","9.6mm","51.6mm","9.6mm","51.6mm","T","270.00","330r"
"R2_LED3","RESC1608N","4.1mm","50.75mm","4.1mm","51.6mm","4.1mm","51.6mm","T","270.00","330r"
"R3","RESC1608N","9.75mm","14.1mm","10.6mm","14.1mm","10.6mm","14.1mm","T","180.00","4.7k"
"R4","RESC1608N","24.1mm","22.45mm","24.1mm","21.6mm","24.1mm","21.6mm","T","90.00","470r"
"U1","QFP50P1200X1200X120-64","12.3mm","23.2mm","6.6mm","27.1mm","8.4mm","17.5mm","T","360.00","PIC32MX764F128H-I/PT"
"U2","TD03B_N","31.7mm","38.6mm","28.1mm","38.6mm","35.3mm","36.35mm","T","90.00","AP1117"
"Y1","HC49/4H_SMX_CRYSTAL","12.35mm","39.6mm","17.1mm","39.6mm","7.6mm","39.6mm","T","180.00","8MHz"

